Year,Name,School,Conf,Class,Pos,G,Cmp,PassingAtt,PassingPct,PassingYds,PassYds/Attempt,AdjYds/Att,PassingTD,Int,Rate,RushingAtt,RushingYds,RushingAvg,RushingTD
2017,Brandon Peters,Michigan,Big Ten,SO,QB,6,57,108,52.8,672,6.2,6.1,4,2,113.6,17,-36,-2.1,0
2018,Brandon Peters,Michigan,Big Ten,JR,QB,2,1,2,50,8,4,-18.5,0,1,-16.4,0,0,,0
2019,Brandon Peters,Illinois,Big Ten,JR,QB,11,152,275,55.3,1884,6.9,6.9,18,8,128.6,74,213,2.9,3
2020,Brandon Peters,Illinois,Big Ten,SR,QB,5,39,80,48.8,429,5.4,6.1,3,0,106.2,24,136,5.7,1
2021,Brandon Peters,Illinois,Big Ten,SR,QB,9,91,169,53.8,1170,6.9,6.7,7,4,120.9,38,0,0,0
2021,Donaven McCulley,Indiana,Big Ten,FR,QB,7,35,82,42.7,475,5.8,5.2,2,2,94.5,64,135,2.1,2
2020,Taulia Tagovailoa,Maryland,Big Ten,SO,QB,4,75,122,61.5,1011,8.3,6.9,7,7,138.5,26,44,1.7,2
2021,Taulia Tagovailoa,Maryland,Big Ten,SO,QB,13,328,474,69.2,3860,8.1,8.2,26,11,151.1,80,81,1,2
2020,Cade McNamara,Michigan,Big Ten,SO,QB,4,43,71,60.6,425,6,7.4,5,0,134.1,5,7,1.4,1
2021,Cade McNamara,Michigan,Big Ten,JR,QB,14,210,327,64.2,2576,7.9,8,15,6,141.9,37,26,0.7,1
2020,Payton Thorne,Michigan State,Big Ten,FR,QB,4,48,85,56.5,582,6.8,6,3,3,118.6,25,47,1.9,1
2021,Payton Thorne,Michigan State,Big Ten,SO,QB,13,235,389,60.4,3232,8.3,8.5,27,10,148,82,181,2.2,4
2020,CJ Stroud,Ohio State,Big Ten,FR,QB,1,0,0,,0,,,0,0,,1,48,48,1
2021,CJ Stroud,Ohio State,Big Ten,FR,QB,12,317,441,71.9,4435,10.1,11.4,44,6,186.6,32,-20,-0.6,0
2021,Christian Veilleux,Penn State,Big Ten,FR,QB,2,16,26,61.5,238,9.2,11.5,3,0,176.5,12,39,3.3,0
2021,Gavin Wimsatt,Rutgers,Big Ten,FR,QB,4,9,21,42.9,45,2.1,-2.1,0,2,41.8,9,67,7.4,0
2020,Alex Padilla,Iowa,Big Ten,FR,QB,1,1,2,50,12,6,6,0,0,100.4,2,7,3.5,0
2021,Alex Padilla,Iowa,Big Ten,SO,QB,8,55,112,49.1,636,5.7,5.2,2,2,99.1,17,-25,-1.5,1
2018,Tanner Morgan,Minnesota,Big Ten,FR,QB,9,89,152,58.6,1401,9.2,8.6,9,6,147.6,41,51,1.2,1
2019,Tanner Morgan,Minnesota,Big Ten,SO,QB,13,210,318,66,3253,10.2,11.1,30,7,178.7,61,-57,-0.9,1
2020,Tanner Morgan,Minnesota,Big Ten,JR,QB,7,106,183,57.9,1374,7.5,7,7,5,128.2,25,-35,-1.4,0
2021,Tanner Morgan,Minnesota,Big Ten,SR,QB,13,149,250,59.6,2044,8.2,7.4,10,9,134.3,59,-9,-0.2,2
2021,Ryan Hilinski ,Northwestern,Big Ten,SO,QB,9,95,176,54,978,5.6,4.9,3,4,101.7,23,-67,-2.9,1
2019,Aidan O'Connell,Purdue,Big Ten,SO,QB,6,103,164,62.8,1101,6.7,6.6,8,4,130.4,15,-9,-0.6,0
2020,Aidan O'Connell,Purdue,Big Ten,JR,QB,3,88,136,64.7,916,6.7,7.1,7,2,135.3,12,-64,-5.3,0
2021,Aidan O'Connell,Purdue,Big Ten,SR,QB,12,315,440,71.6,3712,8.4,8.6,28,11,158.5,25,-120,-4.8,1
2019,Graham Mertz,Wisconsin,Big Ten,FR,QB,2,9,10,90,73,7.3,7.3,0,0,151.3,2,6,3,0
2020,Graham Mertz,Wisconsin,Big Ten,FR,QB,7,118,193,61.1,1238,6.4,6.2,9,5,125.2,36,38,1.1,2
2021,Graham Mertz,Wisconsin,Big Ten,SO,QB,13,169,284,59.5,1958,6.9,5.9,10,11,121.3,37,-25,-0.7,4
